title,description
Tarefa 01, Criar um layout para o website,
Tarefa 02, Escrever um relatório de vendas,
Tarefa 03, Fazer pesquisa de mercado,
Tarefa 04, Gravar um vídeo promocional,
Tarefa 05, Desenvolver um novo produto,
Tarefa 06, Traduzir um documento para espanhol,
Tarefa 07, Realizar testes de usabilidade,
Tarefa 08, Revisar um artigo científico,
Tarefa 09, Criar uma apresentação em PowerPoint,
Tarefa 10, Desenhar um logotipo para a empresa,
Tarefa 11, Organizar um evento corporativo,
Tarefa 12, Realizar uma sessão de fotos,
Tarefa 13, Criar um plano de marketing,
Tarefa 14, Gerenciar as redes sociais da empresa,
Tarefa 15, Desenvolver um aplicativo móvel,
Tarefa 16, Editar um vídeo institucional,
Tarefa 17, Escrever um roteiro para um vídeo explicativo,
Tarefa 18, Criar um programa de treinamento para funcionários,
Tarefa 19, Realizar uma pesquisa de satisfação do cliente,
Tarefa 20, Fazer um diagnóstico do desempenho financeiro da empresa,
Tarefa 21, Criar um plano de ação para redução de custos,
Tarefa 22, Desenvolver um sistema de gestão de projetos,
Tarefa 23, Realizar um estudo de viabilidade econômica,
Tarefa 24, Elaborar um plano de contingência para situações de crise,
Tarefa 25, Redigir um manual de procedimentos,
Tarefa 26, Criar um programa de fidelidade para clientes,
Tarefa 27, Desenvolver um sistema de atendimento ao cliente,
Tarefa 28, Organizar um treinamento de liderança,
Tarefa 29, Fazer uma análise SWOT da empresa,
Tarefa 30, Criar uma campanha publicitária para lançamento de produto